alg,n,m,p_max,I,mean,std,min,max
RandomizedPmax,1,10,128,84,2.5,0.0,2.5,2.5
FastGreedy,1,10,128,85,1.0,0,1.0,1.0
QThreshold,1,10,128,85,9.2,0,9.2,9.2
Random,1,10,128,85,5.0,0.0,5.0,5.0
RandomizedPmax,1,10,128,85,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,86,3.75,0,3.75,3.75
QThreshold,1,10,128,86,2.0,0,2.0,2.0
Random,1,10,128,86,2.0,0.0,2.0,2.0
RandomizedPmax,1,10,128,86,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,87,1.0,0,1.0,1.0
QThreshold,1,10,128,87,25.666666666666668,0,25.666666666666668,25.666666666666668
Random,1,10,128,87,13.0,0.0,13.0,13.0
RandomizedPmax,1,10,128,87,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,88,1.0,0,1.0,1.0
QThreshold,1,10,128,88,12.0,0,12.0,12.0
Random,1,10,128,88,1.0,0.0,1.0,1.0
RandomizedPmax,1,10,128,88,1.316352201257861,0.8202526235985544,1.0,10.5
FastGreedy,1,10,128,89,4.666666666666667,0,4.666666666666667,4.666666666666667
QThreshold,1,10,128,89,4.185185185185185,0,4.185185185185185,4.185185185185185
Random,1,10,128,89,3.8518518518518516,0.0,3.8518518518518516,3.8518518518518516
RandomizedPmax,1,10,128,89,4.666666666666667,0.0,4.666666666666667,4.666666666666667
FastGreedy,1,10,128,90,1.0,0,1.0,1.0
QThreshold,1,10,128,90,24.8,0,24.8,24.8
Random,1,10,128,90,1.0,0.0,1.0,1.0
RandomizedPmax,1,10,128,90,1.8662068965517253,1.1526413857268742,1.0,3.4
FastGreedy,1,10,128,91,1.0,0,1.0,1.0
QThreshold,1,10,128,91,12.0,0,12.0,12.0
Random,1,10,128,91,1.0,0.0,1.0,1.0
RandomizedPmax,1,10,128,91,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,92,3.7586206896551726,0,3.7586206896551726,3.7586206896551726
QThreshold,1,10,128,92,1.3103448275862069,0,1.3103448275862069,1.3103448275862069
Random,1,10,128,92,1.3103448275862069,0.0,1.3103448275862069,1.3103448275862069
RandomizedPmax,1,10,128,92,3.7586206896551726,0.0,3.7586206896551726,3.7586206896551726
FastGreedy,1,10,128,93,1.0,0,1.0,1.0
QThreshold,1,10,128,93,13.333333333333334,0,13.333333333333334,13.333333333333334
Random,1,10,128,93,1.8888888888888888,0.0,1.8888888888888888,1.8888888888888888
RandomizedPmax,1,10,128,93,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,94,3.2857142857142856,0,3.2857142857142856,3.2857142857142856
QThreshold,1,10,128,94,4.321428571428571,0,4.321428571428571,4.321428571428571
Random,1,10,128,94,1.2857142857142858,0.0,1.2857142857142858,1.2857142857142858
RandomizedPmax,1,10,128,94,3.2857142857142856,0.0,3.2857142857142856,3.2857142857142856
FastGreedy,1,10,128,95,2.2666666666666666,0,2.2666666666666666,2.2666666666666666
QThreshold,1,10,128,95,3.566666666666667,0,3.566666666666667,3.566666666666667
Random,1,10,128,95,3.566666666666667,0.0,3.566666666666667,3.566666666666667
RandomizedPmax,1,10,128,95,2.2666666666666666,0.0,2.2666666666666666,2.2666666666666666
FastGreedy,1,10,128,96,1.358974358974359,0,1.358974358974359,1.358974358974359
QThreshold,1,10,128,96,1.4871794871794872,0,1.4871794871794872,1.4871794871794872
Random,1,10,128,96,2.4871794871794872,0.0,2.4871794871794872,2.4871794871794872
RandomizedPmax,1,10,128,96,1.358974358974359,0.0,1.358974358974359,1.358974358974359
FastGreedy,1,10,128,97,1.0,0,1.0,1.0
QThreshold,1,10,128,97,33.666666666666664,0,33.666666666666664,33.666666666666664
Random,1,10,128,97,25.333333333333332,0.0,25.333333333333332,25.333333333333332
RandomizedPmax,1,10,128,97,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,98,3.6666666666666665,0,3.6666666666666665,3.6666666666666665
QThreshold,1,10,128,98,3.6666666666666665,0,3.6666666666666665,3.6666666666666665
Random,1,10,128,98,1.0,0.0,1.0,1.0
RandomizedPmax,1,10,128,98,3.6666666666666665,0.0,3.6666666666666665,3.6666666666666665
FastGreedy,1,10,128,99,3.0,0,3.0,3.0
QThreshold,1,10,128,99,21.0,0,21.0,21.0
Random,1,10,128,99,1.0,0.0,1.0,1.0
RandomizedPmax,1,10,128,99,3.0,0.0,3.0,3.0
